s_no,tpa,entity_code,hospital_name,address,district,subentities,single_multi,pvt_govt,directrate,edc,edc_date,year,grade,bariatric_surgery,cardiology,cardiothoracic_surgeries,dermatology,ent,endocrinology,follow_up_procedure,gastroenterology,general_medicine,general_surgery,genitourinary_surgery,gynaecology_obstetric_surgery,haemotology,hepatology,infectious_diseases,interventional_cardiology,interventional_radiology,medical_oncology,neonatology,nephrology,neurology,neurosurgery,ofms,ophthalmology_surgeries,orthopedics,paediatric_intensive_care,paediatric_surgeries,paediatrics,plastic_surgery,pmr,psychiatry,pulmonology,radiation_oncology,rehabilitation,rheumatology,spine,surgical_gastro_enterology,surgical_oncology,vascular_surgeries,joint_replacement,latitude,longitude,location_accuracy
158,MA,H_26402,"Pudukottai Dental College Hosp, Pudukottai TN.","Mullur Village, Thanjavur Road, Pudukkottai - 622004, Tamil Nadu", Pudukottai ,GOVT-DME,Multi,GOVT-DME,Govt,95,06-03-2026,2026,A1,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,10.3721881,78.8019821,Village/Town Center
229,MA,H_26317,"Chitra Multi Spl Hosp Pvt Ltd, Virudhunagar, TN.","No 626, Tenkasi Road, Rajapalayam, Virudhunagar, Tamilnadu - 626117", Virudhunagar,Private,Multi,PVT HOSPITAL,Pvt,91,28-10-2025,2025,A6,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.6220864,77.9592051,Village/Town Center
161,MA,H_18230,"A.S Imaging Centre Pvt Ltd, Ariyalur TN.","27E PATTUNOOLKARA STREET, ARIYALUR.",Ariyalur,PVT,Multi,PVT HOSPITAL,Pvt,4,12-04-2017,2017,A4,False,True,False,False,False,False,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,11.1530559,79.2585797,District Center
195,MA,H_18437,"Ariyalur Golden Hospital Pvt.Ltd, Ariyalur TN.","81A,PERIYARNAGAR MAIN ROAD,",Ariyalur,PVT,Multi,PVT HOSPITAL,Pvt,4,12-04-2017,2017,A4,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.1530559,79.2585797,District Center
2036,MA,H_22534,"DEIC , Ariyalur TN.",,Ariyalur,DEIC,DEIC,DEIC,Govt,0,05-02-2018,2018,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.1530559,79.2585797,District Center
2035,MA,H_22519,"District Diff. abled welfare office,Ariyalur TN.",,Ariyalur,DDWO,DDWO,DDWO,Govt,20,03-07-2018,2018,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.1530559,79.2585797,District Center
1511,MA,H_24572,"Govt Andimadam UPHC, Ariyalur TN.","Govt.Community Health Centre, V ROAD,  ANDIMADAM ,ANDIMADAM (PO &TK), ARIYALUR (DT), 621801",Ariyalur,UPHC,Multi,Govt-MTM,Govt,51,19-08-2021,2021,A1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,11.1530559,79.2585797,District Center
142,MA,H_25860,"Govt Hospital, Sendurai, Ariyalur TN.","GH,Periyar Nagar,Neivanam,Sendurai,Ariyalur District.",Ariyalur,GOVT-DMS,Multi,GOVT-DMS,Govt,69,12-05-2023,2023,A1,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,11.2691534,79.2346675,Exact Hospital
141,MA,H_25859,"Govt Hospital, Udayarpalayam, Ariyalur TN.","GH,Old Police station road,Udayarpalayam,Ariyalur District.",Ariyalur,GOVT-DMS,Multi,GOVT-DMS,Govt,69,12-05-2023,2023,A1,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,11.209725,79.3663872,Exact Hospital
1635,MA,H_25030,"Govt Kadugur UPHC, Ariyalur TN.","kadugur bphc, main road, kallankurichi via, kadugur, ariyalur",Ariyalur,UPHC,Multi,Govt-MTM,Govt,55,12-11-2021,2021,A1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,11.1679359,79.1496161,Village/Town Center
